,Form_Type,Accession_Number,Date_Filed,Transaction_Date,Event_Date,Issuer_CIK,Official_Issuer_Name,Reporting_Owner_CIK,Official_Reporting_Owner_Name,Ticker,Is_Institutional
1046876,F4,0001181431-08-066248,2008-12-09,2008-12-05,,798955,cost plus inc/ca/,1181431,unknown,X0303,False
10659,F4,0001208428-10-000006,2010-05-20,2010-05-18,,863110,artesian resources corp,1208428,taylor dian c,X0303,False
6055995,F4,0001127602-25-017367,2025-06-12,2025-06-11,,798783,universal health realty income trust,1127602,restricted stock systems inc,X0508,True
3367020,F4,0001140361-11-013187,2011-03-01,2011-02-25,,350907,thoratec laboratories corp,1140361,edgarfilings ltd,X0303,True
1545684,F4,0000042888-12-000088,2012-04-20,,,1190813,morfitt martha a m,42888,graco inc,X0305,True
11472135,F10Q,0001085869-12-000039,2012-08-02,,,0,unknown,1085869,perficient inc,,True
9451006,F8K,0001127264-03-000115,2003-08-29,,,0,unknown,1127264,unknown,,False
6233719,F4,0001676238-24-000026,2024-02-21,2024-02-16,,1888932,magnuson william,1676238,"braze, inc.",X0508,True
7024093,F4,0001140361-08-010877,2008-05-01,2008-04-29,,277638,davey tree expert co,1140361,edgarfilings ltd,NONE,True
9251837,F8K,0001193125-21-325138,2021-11-10,2021-11-09,,0,unknown,1193125,unknown,,False
1832086,F4,0001037599-09-000004,2009-01-09,2008-12-31,,1168600,edgington bruce e,1037599,didax inc,X0303,True
7634137,F4,0001209191-08-000125,2008-01-02,2007-12-31,,78536,transmedia network inc /de/,1209191,unknown,IRN,False
5337909,F4,0000897069-23-001732,2023-12-07,2023-12-05,,886128,fuelcell energy inc,897069,foley & lardner/ fa,X0508,False
11126750,F10K,0000814453-17-000027,2017-03-01,,,0,unknown,814453,newell rubbermaid inc,,True
3475951,F4,0001246360-17-003187,2017-12-04,2017-12-02,,1024478,rockwell international corp,1246360,morse elizabeth myers,ROK,False
3375686,F4,0001722438-22-000121,2022-07-21,2022-07-19,,1543844,smith michael alan,1722438,"doma holdings, inc.",DOMA,True
9310452,F8K,0001193125-12-152089,2012-04-05,,,0,unknown,1193125,unknown,,False
11282110,F10Q,0001193125-05-157725,2005-08-04,,,0,unknown,1193125,unknown,,False
3269058,F4,0000866368-05-000023,2005-05-18,,,1201889,burns r wesley,866368,public storage properties xi inc,PSB,True
9497310,F8K,0000950124-07-000446,2007-01-25,,,0,unknown,950124,bowne of detroit inc 01/fa,,True
35021,F4,0001140361-17-017481,2017-05-01,2017-04-28,,314489,first busey corp /nv/,1140361,edgarfilings ltd,BUSE,True
950310,F4,0001144204-09-029470,2009-05-26,2009-05-22,,1273801,northstar realty finance corp.,1144204,unknown,X0303,False
11476042,F10Q,0000950170-23-040491,2023-08-09,,,0,unknown,950170,unknown,,False
8454883,F4,0001209191-23-020760,2023-03-23,2023-03-21,,862831,financial institutions inc,1209191,unknown,X0407,False
6868461,F4,0000950170-23-068856,2023-12-07,2023-12-05,,1237831,globus medical inc,950170,unknown,X0508,False
3247455,F4,0001140361-10-024694,2010-06-08,2010-05-13,,1328650,"bronco drilling company, inc.",1140361,edgarfilings ltd,X0303,True
3256778,F4,0001437749-17-002885,2017-02-21,2017-02-17,,1121484,"oil states international, inc",1437749,unknown,OIS,False
8308291,F4,0000067716-05-000097,2005-05-19,2005-05-18,,1285204,sandness paul k,67716,mdu resources group inc,MDU,True
1711476,F4,0001589357-13-000009,2013-12-04,2013-12-02,,317771,tellabs inc,1589357,unknown,TLAB,False
857251,F4,0000914139-10-000033,2010-09-13,2010-09-09,,937453,parker jeffrey,914139,parkervision inc,X0303,True
9378650,F8K,0001104659-14-004410,2014-01-28,,,0,unknown,1104659,toppan merrill/fa,,False
9990119,F8K,0001144204-14-058729,2014-09-30,,,0,unknown,1144204,unknown,,False
8963659,F4,0001209191-19-004464,2019-01-18,2019-01-17,,944809,"opko health, inc.",1209191,unknown,OPK,False
8320727,F4,0000018230-03-000155,2003-04-03,,,0,unknown,18230,caterpillar inc,,True
5581270,F4,0001209191-08-055537,2008-10-06,2008-10-02,,876523,ezcorp inc,1209191,unknown,X0303,False
6558478,F4,0001127602-14-007356,2014-02-20,2014-02-18,,21344,coca cola co,1127602,restricted stock systems inc,KO,True
9993257,F8K,0001003564-06-000006,2006-06-01,,,0,unknown,1003564,metris master trust,,True
8342129,F4,0001378848-14-000005,2014-05-16,2014-05-14,,896841,"avid technology, inc.",1378848,wilbert frederick john,AVID,False
7468605,F4,0001209191-07-060396,2007-10-30,2007-10-27,,811669,ust inc,1209191,unknown,UST,False
9367321,F8K,0001323885-22-000113,2022-11-01,,,0,unknown,1323885,"atricure, inc.",,True
8248933,F4,0001810019-23-000003,2023-01-04,2022-12-31,,1892103,marino mark a.,1810019,"rackspace technology, inc.",RXT,True
3108020,F4,0001209191-19-003070,2019-01-09,2019-01-07,,1293971,genetix pharmaceuticals inc,1209191,unknown,BLUE,False
3968323,F4,0001144204-13-050303,2013-09-11,2013-08-20,,1230355,trans1 inc,1144204,unknown,BAXS,False
1484085,F4,0001127602-11-029453,2011-11-14,2011-11-09,,773910,anadarko petroleum corp,1127602,restricted stock systems inc,X0304,True
3512057,F4,0001312548-09-000002,2009-02-06,2009-02-04,,1096958,opentv corp,1312548,"discovery group i, llc",X0303,True
4481152,F4,0000807249-09-000412,2009-05-28,2009-05-27,,1165002,westwood holdings group inc,807249,"gamco investors, inc. et al",X0303,True
1403198,F4,0001183681-12-000066,2012-08-17,2012-08-15,,789019,microsoft corp,1183681,brod frank h,MSFT,False
10056729,F8K,0001193125-06-092575,2006-04-28,,,0,unknown,1193125,unknown,,False
8900283,F4,0000920371-17-000030,2017-02-07,2017-02-04,,1601647,dankel roger,920371,"simpson manufacturing co., inc.",SSD,True
903500,F4,0001140361-17-035294,2017-09-13,2017-09-12,,67625,monmouth real estate investment corp,1140361,edgarfilings ltd,MNR,True
2070216,F4,0001159297-14-000052,2014-04-30,2014-04-28,,1039026,martore gracia c,1159297,mw holding corp,MWV,True
3924351,F4,0001179110-11-011031,2011-07-19,2011-07-15,,1125914,opentable inc,1179110,unknown,X0303,False
5951006,F4,0001181431-10-018556,2010-03-29,2010-01-07,,1071341,sanders morris harris group inc,1181431,unknown,X0303,False
1009093,F4,0000886163-10-000013,2010-01-28,2009-02-15,,1280564,meglasson martin,886163,ligand pharmaceuticals inc,X0303,True
11009343,F8K,0001213900-21-049848,2021-09-27,,,0,unknown,1213900,unknown,,False
644905,F4,0001241838-03-000005,2003-09-03,2003-08-29,,1109740,catuity inc,1241838,howe michael v,X0201,False
5117203,F4,0001209191-04-050088,2004-10-29,2004-10-27,,797721,viasat inc,1209191,unknown,VSAT,False
9009347,F4,0001209191-06-065372,2006-12-18,2006-12-14,,320345,micros systems inc,1209191,unknown,MCRS,False
1526655,F4,0001246360-13-004642,2013-10-15,2013-10-11,,818479,dentsply sirona inc.,1246360,morse elizabeth myers,XRAY,False
11078620,F10K,0001308179-13-000027,2013-02-13,,,0,unknown,1308179,unknown,,False
831931,F4,0000095521-04-000174,2004-07-02,2004-07-01,,1074495,gage edwin c,95521,supervalu inc,SVU,True
2220921,F4,0001225208-12-008379,2012-03-28,2012-03-26,,6281,analog devices inc,1225208,unknown,X0305,False
1943924,F4,0001209191-18-060364,2018-11-30,2018-11-29,,1367920,"concert pharmaceuticals, inc.",1209191,unknown,CNCE,False
8841254,F4,0001012975-09-000318,2009-10-19,2009-10-16,,1141103,cross country inc,1012975,unknown,X0303,False
1147170,F4,0001491299-25-000003,2025-08-13,2025-08-12,,1321732,penumbra inc,1491299,wilder thomas,X0508,False
2967051,F4,0000898432-08-000650,2008-07-02,2008-06-30,,314606,geokinetics inc,898432,unknown,X0303,False
7748282,F4,0001144204-07-004564,2007-01-31,2007-01-29,,879911,us home & garden inc,1144204,unknown,IOTN,False
261033,F4,0000899681-08-000983,2008-10-22,2008-10-20,,947429,international wire group inc,899681,unknown,X0303,False
9170996,F4,0001437749-16-028767,2016-03-31,2016-01-01,,8328,atlas mining co,1437749,unknown,AMNL,False
3747341,F4,0001209191-11-062907,2011-12-22,2011-12-21,,1389072,heartware ltd,1209191,unknown,X0304,False
10354919,F8K,0001056404-05-003338,2005-10-03,,,0,unknown,1056404,norwest asset sec corp mort ps thr cert ser 1998-1 trust,,True
1894842,F4,0001562180-18-004344,2018-10-31,2018-10-29,,1455684,"tpi composites, inc",1562180,solium capital inc,TPIC,True
6531495,F4,0001333277-19-000023,2019-01-31,2019-01-29,,1042074,"metabolex, inc.",1333277,quinlan paul t,CBAY,False
6158174,F4,0001161697-14-000425,2014-09-02,2014-08-28,,1369568,"catalyst pharmaceuticals, inc.",1161697,unknown,CPRX,False
10596009,F8K,0000950103-06-000002,2006-01-03,,,0,unknown,950103,unknown,,False
3452998,F4,0001562180-19-001598,2019-03-04,2019-03-01,,1378946,"people's united financial, inc.",1562180,solium capital inc,PBCT,True
3113804,F4,0001392936-11-000004,2011-02-02,2011-02-01,,1375365,"super micro computer, inc.",1392936,tsai hwei-ming fred,X0303,False
4617379,F4,0001054374-15-000137,2015-12-01,2015-11-27,,1463220,kim neil y.,1054374,broadcom corp,BRCM,True
3320227,F4,0001271144-16-000008,2016-10-31,2016-10-28,,1177394,td synnex corp,1271144,silver star deveopments ltd,SNX,True
5207758,F4,0000850606-06-000021,2006-12-22,,,1244405,werner benny n,850606,community financial corp /va/,CFFC,True
10253113,F8K,0000909518-03-000207,2003-04-15,,,0,unknown,909518,weil gotshal & manges 04/fa,,False
11119125,F10K,0001161728-19-000005,2019-02-22,,,0,unknown,1161728,mge energy inc,,True
6110557,F4,0000038725-06-000063,2006-08-18,2006-05-25,,1126448,brady jerome d,38725,franklin electric co inc,FELE,True
4758153,F4,0000921895-10-001330,2010-08-26,2010-08-24,,93859,steak & shake co,921895,olshan grundman frome & rosenzweig,X0303,False
3955674,F4,0000899243-20-010594,2020-04-09,2020-04-06,,1640428,"everquote, inc.",899243,donnelley financial solutions 06/fa,EVER,False
11576312,F10Q,0001193125-08-223030,2008-11-03,,,0,unknown,1193125,unknown,,False
10050085,F8K,0001193125-08-085645,2008-04-21,,,0,unknown,1193125,unknown,,False
10501658,F8K,0001688568-18-000131,2018-11-08,,,0,unknown,1688568,"everett spinco, inc.",,True
10474218,F8K,0001181431-09-035221,2009-07-14,,,0,unknown,1181431,unknown,,False
3565337,F4,0001127602-19-028638,2019-09-18,2019-09-17,,1673358,"yum! china holding, inc.",1127602,restricted stock systems inc,YUMC,True
5581629,F4,0001144204-07-042941,2007-08-14,,,1014733,vdi multimedia,1144204,unknown,PTSX,False
6931015,F4,0001850902-23-000015,2023-05-16,2023-05-12,,1895283,gelhaus ken,1850902,"alpha teknova, inc.",X0407,True
2499265,F4,0001209191-06-033599,2006-05-31,2006-05-30,,26820,phoenix footwear group inc,1209191,unknown,PXG,False
9424136,F8K,0001104659-14-044916,2014-06-10,,,0,unknown,1104659,toppan merrill/fa,,False
2448002,F4,0001140361-07-010354,2007-05-18,,,917968,peets coffee & tea inc,1140361,edgarfilings ltd,PEET,True
6269096,F4,0001415889-25-004755,2025-02-19,2025-02-14,,1746466,"equillium, inc.",1415889,"sec connect, llc",X0508,True
417195,F4,0001437749-22-014106,2022-06-02,2022-05-27,,1083522,urban juice & soda co ltd /wy/,1437749,unknown,JSDA,False
71048,F4,0000086104-05-000010,2005-01-26,2005-01-24,,1185093,cline robert s,86104,safeco corp,SAFC,True
10496310,F8K,0001193125-07-188878,2007-08-24,,,0,unknown,1193125,unknown,,False
9305087,F8K,0001551306-25-000186,2025-11-06,,,0,unknown,1551306,"progyny, inc.",,True
1491152,F4,0001415889-16-006162,2016-06-10,,,1070494,acadia pharmaceuticals inc,1415889,"sec connect, llc",ACAD,True
5906828,F4,0001209191-10-048605,2010-10-04,2010-09-30,,875159,xl group plc,1209191,unknown,X0303,False
6568537,F4,0001241404-04-000024,2004-02-27,2004-02-26,,1078271,extreme networks inc,1241404,unknown,X0201,False
4534257,F4,0001209191-04-047672,2004-10-06,2004-10-05,,833081,pride petroleum services inc,1209191,unknown,PDE,False
2506909,F4,0001509432-13-000040,2013-05-10,2013-05-08,,1511891,barker geoffrey t,1509432,rpx corp,RPXC,True
3398512,F4,0001140361-15-005947,2015-02-12,2015-02-11,,84748,rogers corp,1140361,edgarfilings ltd,ROG,True
3509075,F4,0001127602-15-029706,2015-10-28,2015-10-26,,313143,haemonetics corp,1127602,restricted stock systems inc,HAE,True
3272199,F4,0001181431-06-047094,2006-08-11,,,1040853,pharsight corp,1181431,unknown,PHST,False
8617739,F4,0001209191-23-013917,2023-02-28,2023-02-24,,1124198,fluor corp,1209191,unknown,FLR,False
4979340,F4,0001193125-25-291461,2025-11-21,2025-11-19,,1674862,ashland inc.,1193125,unknown,X0508,False
712581,F4,0000069970-05-000118,2005-05-10,,,1183300,parker ted m,69970,national city corp,NCC,True
6776064,F4,0001182489-18-000102,2018-02-23,2018-02-21,,1413329,philip morris international inc.,1182489,unknown,PM,False
10959244,F8K,0001193125-07-257502,2007-12-03,,,0,unknown,1193125,unknown,,False
6017417,F4,0001225208-18-011932,2018-07-25,2018-07-23,,940944,darden restaurants inc,1225208,unknown,DRI,False
4619657,F4,0001616318-17-000022,2017-02-15,2017-02-13,,1409119,keller robert j,1616318,vista outdoor inc.,VSTO,True
30268,F4,0001628280-24-001990,2024-01-23,2024-01-19,,1600438,gyp holdings i corp.,1628280,unknown,X0508,False
8230743,F4,0001295802-04-000002,2004-06-29,2004-06-25,,101382,united missouri bancshares inc,1295802,gazzoli joseph j,UMBF,False
6695154,F4,0001225208-19-002771,2019-02-15,2019-02-13,,1133421,northrop grumman corp /de/,1225208,unknown,NOC,False
11177650,F10K,0001193125-09-064484,2009-03-26,,,0,unknown,1193125,unknown,,False
3033107,F4,0001181431-13-005771,2013-01-31,2013-01-30,,1524931,"chuy's holdings, inc.",1181431,unknown,CHUY,False
3764095,F4,0000813298-13-000062,2013-08-01,,,1437218,chane francis c,813298,"destination xl group, inc.",DXLG,True
8072042,F4,0000927653-25-000083,2025-07-31,2025-07-30,,1559405,lerman bradley e,927653,mckesson hboc inc,X0508,True
4472632,F4,0001127602-25-001515,2025-01-17,2025-01-16,,2012383,"blackrock, inc.",1127602,restricted stock systems inc,X0508,True
1554617,F4,0000904454-16-001365,2016-08-08,2016-08-04,,1458962,"mindbody, inc.",904454,unknown,MB,False
5947542,F4,0001528129-24-000020,2024-02-09,2024-02-08,,1317424,powell frances r,1528129,"vital energy, inc.",X0508,True
9808321,F8K,0001193125-09-126975,2009-06-08,,,0,unknown,1193125,unknown,,False
7753508,F4,0001209191-20-038467,2020-06-23,2020-06-20,,1540755,"anaplan, inc.",1209191,unknown,PLAN,False
98904,F4,0001127602-13-012986,2013-04-02,2013-03-31,,1274494,"first solar, inc.",1127602,restricted stock systems inc,FSLR,True
2588565,F4,0001139501-08-000003,2008-01-02,,,1095073,everest reinsurance group ltd,1139501,galtney william f jr,RE,False
8284199,F4,0000950170-25-049704,2025-04-02,2025-03-31,,1664703,bloom energy corp,950170,unknown,X0508,False
9245245,F8K,0000909567-04-000481,2004-04-05,,,0,unknown,909567,unknown,,False
2012987,F4,0001209028-04-000106,2004-07-01,2004-06-30,,1218310,smith robert s,1209028,friedman billings ramsey group inc,FBR,True
5736199,F4,0001084869-03-000094,2003-09-30,2003-09-16,,1205164,mccann james f,1084869,1 800 flowers com inc,X0201,True
1755563,F4,0000764401-06-000012,2006-01-10,2006-01-06,,1017474,woltz howard o jr,764401,insteel industries inc,IIIN,True
3755602,F4,0001209191-21-053881,2021-08-30,2021-08-26,,743316,maxim integrated products inc,1209191,unknown,MXIM,False
11603114,F10Q,0001558370-17-008692,2017-11-09,,,0,unknown,1558370,unknown,,False
1107497,F4,0001211493-25-000003,2025-10-02,2025-10-01,,1179929,"molina healthcare, inc.",1211493,orlando steven j,X0508,False
6152308,F4,0001181431-07-062301,2007-10-16,2007-10-12,,1337013,"infusystem holdings, inc",1181431,unknown,AZ,False
1377656,F4,0001628280-22-025263,2022-09-20,2022-09-16,,1653482,gitlab inc.,1628280,unknown,GTLB,False
9817718,F8K,0001157523-03-000727,2003-03-24,,,0,unknown,1157523,unknown,,False
5465235,F4,0001209191-10-037483,2010-07-06,2010-07-01,,1025378,w. p. carey inc.,1209191,unknown,X0303,False
8407536,F4,0001675644-19-000003,2019-07-15,2019-07-11,,1752331,deacon jennifer l,1675644,"fvcbankcorp, inc.",FVCB,True
1614974,F4,0000930420-21-000069,2021-03-12,2021-03-10,,1034045,dunkel david l,930420,romac international inc,KFRC,True
6632362,F4,0001664982-16-000006,2016-02-23,2016-02-20,,1006424,first federal bancshares of arkansas inc,1664982,unknown,BSF,False
6193930,F4,0001197918-09-000007,2009-10-07,2009-10-06,,785787,aep industries inc,1197918,powers john j,X0303,False
7129837,F4,0000916480-06-000033,2006-03-01,2006-02-27,,105076,wausau paper mills co,916480,unknown,WPP,False
1916503,F4,0001209191-08-066811,2008-12-19,2008-09-26,,894405,arkansas best corp /de/,1209191,unknown,X0303,False
7253699,F4,0001464631-14-000004,2014-12-02,2014-12-01,,1449794,"embassy bancorp, inc.",1464631,lobach david m jr,EMYB,False
2757585,F4,0001179110-17-011058,2017-08-03,2017-08-01,,1001838,southern peru copper holding co,1179110,unknown,SCCO,False
3348058,F4,0001246426-09-000035,2009-07-14,2008-12-23,,10795,becton dickinson & co,1246426,unknown,X0303,False
813816,F4,0001230015-07-000002,2007-10-03,2007-10-01,,718482,edwards a g inc,1230015,porter joseph g,AGE,False
11089649,F10K,0001309811-05-000003,2005-03-29,,,0,unknown,1309811,rali series 2004-qs15 trust,,True
2926171,F4,0001492520-18-000006,2018-03-05,2018-03-01,,1486957,"bwx technologies, inc.",1492520,canafax james d,BWXT,False
11286314,F10Q,0001654954-17-005299,2017-06-02,,,0,unknown,1654954,unknown,,False
6411398,F4,0001628280-24-025916,2024-05-30,2024-05-28,,866374,flextronics international ltd.,1628280,unknown,X0508,False
3635373,F4,0001179110-06-005252,2006-03-01,2006-02-28,,1082114,liberty media llc,1179110,unknown,CO,False
10116799,F8K,0001056404-05-002984,2005-08-30,,,0,unknown,1056404,norwest asset sec corp mort ps thr cert ser 1998-1 trust,,True
8136488,F4,0000065984-04-000365,2004-12-02,2004-11-30,,1057591,smith wm clifford,65984,entergy corp/fl,ETR,True
9320895,F8K,0001193125-15-346977,2015-10-19,,,0,unknown,1193125,unknown,,False
1650112,F4,0001209191-22-021835,2022-03-31,2022-03-29,,887733,central garden & pet company,1209191,unknown,CENT,False
9961408,F8K,0000905148-08-002551,2008-05-14,,,0,unknown,905148,sidley austin llp /fa/,,False
4977362,F4,0000737875-05-000013,2005-05-03,2005-05-02,,1236330,fabian  jerome f,737875,first keystone corp,PA,True
3306191,F4,0001209191-04-010551,2004-02-17,2004-02-13,,48898,hubbell inc,1209191,unknown,X0201,False
6844059,F4,0001144204-17-031036,2017-06-05,2017-06-01,,1426800,ventrus biosciences inc,1144204,unknown,ASMB,False
3330529,F4,0000743368-06-000004,2006-01-05,2006-01-03,,1209493,van saun bruce w,743368,bowater inc,BOW,True
9713165,F8K,0001157523-11-006588,2011-11-08,,,0,unknown,1157523,unknown,,False
